,image,question,choices,answer,hint,task,grade,subject,topic,category,skill,lecture,solution,baseline_result,correct/incorrect,predicted_letter,gold_letter,CoT_result,reasoning,predicted_letter_CoT,correct/incorrect_CoT
3808,,Select the living thing.,"['cell phone', 'giant clam', 'paper airplane', 'clay']",1,,closed choice,grade4,natural science,biology,Correct–Correct,Identify living and nonliving things,"All living things are made up of cells. Plants, animals, and some fungi have many cells. Other living things are made up of just one cell.
All living things need food and water. Water helps living things break down food and remove waste. Food gives living things energy. They use energy from food to grow and change.
All living things sense changes in their environment. Living things might sense changes by seeing, smelling, hearing, or feeling. Living things can respond to the changes they sense.","Clay is not a living thing.
Clay does not have all of the traits of a living thing. It can be formed into different shapes, but it does not grow or respond to the world around it. It does not need food or water.
A giant clam is a living thing.
Giant clams grow and respond to their environment. They need food and water. Giant clams are made up of many cells.
Giant clams are animals. They live in large shells that are attached to the ocean floor.
A cell phone is not a living thing.
A cell phone does not have all the traits of a living thing. It does many useful things, and even responds to the world around it. But it does not grow. It does not need food or water.
A paper airplane is not a living thing.
Paper airplanes do not have all of the traits of living things. They do not grow or respond to their environment. They do not need food or water.",B,1,B,B,Reasoning:Giant clam is a living thing. Giant clam can be selected. The final answer: (B).,Giant clam is a living thing. Giant clam can be selected.,B,1
6573,,How long is an adult alligator?,"['15 inches', '15 miles', '15 feet', '15 yards']",2,Select the best estimate.,closed choice,grade6,natural science,units-and-measurement,Correct–Correct,"Choose customary units of distance, mass, and volume","Measurements are written with both a number and a unit. The unit comes after the number. The unit shows what the number means.
When you are using customary units, length may be written with units of inches, feet, yards, or miles.
There are 12 inches in 1 foot, and 3 feet in 1 yard. There are 5,280 feet in 1 mile.
A football is about 1 foot long. A football field is 100 yards long.","The best estimate for the length of an adult alligator is 15 feet.
15 inches is too short. 15 yards and 15 miles are too long.",C,1,C,C,Reasoning:Adult alligators are about 15 inches long. The final answer: (C).,Adult alligators are about 15 inches long.,C,1
3574,,"Which type of sentence is this?
As Dan sat down on the rickety old chair, it abruptly collapsed beneath him.","['simple', 'compound-complex', 'compound', 'complex']",3,,closed choice,grade8,language science,grammar,Correct–Correct,"Is the sentence simple, compound, complex, or compound-complex?","A clause is a group of words that contains both a subject and a predicate.
An independent clause is a complete thought that can stand alone as a sentence. A dependent clause (or subordinate clause) is not a complete thought and cannot stand alone as a sentence.
the oranges on our tree are ripe
The clause can stand alone. It is independent.
after we pick up Kevin from work
The clause cannot stand alone. It is dependent.
A simple sentence is made up of a single independent clause.
Ben and I spent all day relaxing by the pool.
Some simple sentences have introductory phrases, but the introductory phrase is part of the predicate.
In the winter, Ben usually wears his heavy coat.
Ben usually wears his heavy coat in the winter.
A compound sentence is made up of two independent clauses joined by a coordinating conjunction such as and, but, or, or so.
We saw the flash of lightning, and seconds later we heard a rumble of thunder.
A complex sentence is made up of an independent clause and a dependent clause. The dependent clause in a complex sentence usually begins with a subordinating conjunction or relative pronoun. Subordinating conjunctions include after, although, as, because, before, if, since, unless, until, when, and while. Relative pronouns include that, which, who, whom, or whose.
If she ever gets the chance, Terri would love to visit the Egyptian pyramids.
During his trip to Italy, Tony visited the Trevi Fountain, which is in Rome.
A compound-complex sentence is made up of two or more independent clauses and one or more dependent clauses.
After Samantha left work, she stopped at the bank, and then she went to the gym.
Sometimes a dependent clause in a complex or compound-complex sentence can interrupt an independent clause.
Orcas that are kept in captivity often have bent dorsal fins.","The sentence is complex. It is made up of an independent clause and a dependent clause. The dependent clause begins with the subordinating conjunction as.
As Dan sat down on the rickety old chair, it abruptly collapsed beneath him.",(D),1,D,D,Reasoning:The chair collapsed beneath Dan when he sat down on it. The final answer: (D).,The chair collapsed beneath Dan when he sat down on it.,D,1
10363,,"Which type of sentence is this?
Lorraine Hansberry wrote the widely acclaimed 1959 Broadway play A Raisin in the Sun, and her accomplishment opened the door for other African American playwrights.","['compound', 'complex', 'simple', 'compound-complex']",0,,closed choice,grade10,language science,grammar,Correct–Correct,"Is the sentence simple, compound, complex, or compound-complex?","A clause is a group of words that contains both a subject and a predicate.
An independent clause is a complete thought that can stand alone as a sentence. A dependent clause (or subordinate clause) is not a complete thought and cannot stand alone as a sentence.
the oranges on our tree are ripe
The clause can stand alone. It is independent.
after we pick up Kevin from work
The clause cannot stand alone. It is dependent.
A simple sentence is made up of a single independent clause.
Ben and I spent all day relaxing by the pool.
Some simple sentences have introductory phrases, but the introductory phrase is part of the predicate.
In the winter, Ben usually wears his heavy coat.
Ben usually wears his heavy coat in the winter.
A compound sentence is made up of two independent clauses joined by a coordinating conjunction such as and, but, or, or so.
We saw the flash of lightning, and seconds later we heard a rumble of thunder.
A complex sentence is made up of an independent clause and a dependent clause. The dependent clause in a complex sentence usually begins with a subordinating conjunction or relative pronoun. Subordinating conjunctions include after, although, as, because, before, if, since, unless, until, when, and while. Relative pronouns include that, which, who, whom, or whose.
If she ever gets the chance, Terri would love to visit the Egyptian pyramids.
During his trip to Italy, Tony visited the Trevi Fountain, which is in Rome.
A compound-complex sentence is made up of two or more independent clauses and one or more dependent clauses.
After Samantha left work, she stopped at the bank, and then she went to the gym.
Sometimes a dependent clause in a complex or compound-complex sentence can interrupt an independent clause.
Orcas that are kept in captivity often have bent dorsal fins.","The sentence is compound. It is made up of two independent clauses joined by the coordinating conjunction and.
Lorraine Hansberry wrote the widely acclaimed 1959 Broadway play A Raisin in the Sun, and her accomplishment opened the door for other African American playwrights.",(A),1,A,A,Reasoning:A Raisin in the Sun is a 1959 Broadway play written by Lorraine Hansberry. Her accomplishment opened the door for other African American playwrights. The final answer: (A).,A Raisin in the Sun is a 1959 Broadway play written by Lorraine Hansberry. Her accomplishment opened the door for other African American playwrights.,A,1
4302,,Which organ provides a barrier against contaminants found in the environment?,"['skin', 'stomach', 'brain', 'muscles']",0,,closed choice,grade5,natural science,biology,Correct–Correct,Human organs and their functions,,,(A),1,A,A,Reasoning:Skin provides a barrier against contaminants found in the environment. The final answer: (A).,Skin provides a barrier against contaminants found in the environment.,A,1
11573,,How long is a long-distance running race?,"['25 yards', '25 miles', '25 feet', '25 inches']",1,Select the best estimate.,closed choice,grade7,natural science,units-and-measurement,Correct–Correct,"Choose customary units of distance, mass, and volume","Measurements are written with both a number and a unit. The unit comes after the number. The unit shows what the number means.
When you are using customary units, length may be written with units of inches, feet, yards, or miles.
There are 12 inches in 1 foot, and 3 feet in 1 yard. There are 5,280 feet in 1 mile.
A football is about 1 foot long. A football field is 100 yards long.","The best estimate for the length of a long-distance running race is 25 miles.
25 inches, 25 feet, and 25 yards are all too short.",B,1,B,B,Reasoning:A long-distance running race is 25 miles. The final answer: (B).,A long-distance running race is 25 miles.,B,1
11053,,Select the living thing.,"['banana tree', 'yo-yo', 'Mount Rushmore National Memorial', 'candle']",0,,closed choice,grade4,natural science,biology,Correct–Correct,Identify living and nonliving things,"All living things are made up of cells. Plants, animals, and some fungi have many cells. Other living things are made up of just one cell.
All living things need food and water. Water helps living things break down food and remove waste. Food gives living things energy. They use energy from food to grow and change.
All living things sense changes in their environment. Living things might sense changes by seeing, smelling, hearing, or feeling. Living things can respond to the changes they sense.","A banana tree is a living thing.
Banana trees grow and respond to their environment. They need food and water. Banana trees are made up of many cells.
Banana trees are plants. They make their own food using water, carbon dioxide, and energy from sunlight.
A candle is not a living thing.
A candle does not have all the traits of a living thing. It gives off light and heat, but it does not need food or water to survive.
Mount Rushmore National Memorial is not a living thing.
The Mount Rushmore National Memorial is a sculpture of four American presidents: George Washington, Thomas Jefferson, Theodore Roosevelt, and Abraham Lincoln. The sculpture does not have all the traits of a living thing. It does not grow or respond to the world around it. It does not need food or water.
A yo-yo is not a living thing.
Yo-yos do not have all of the traits of living things. They do not grow or respond to their environment. They do not need food or water.",(A),1,A,A,Reasoning:A banana tree is a living thing. The final answer: (A).,A banana tree is a living thing.,A,1
971,,"What do these two changes have in common?
boiling an egg
acid rain weathering a marble statue","['Both are only physical changes.', 'Both are caused by heating.', 'Both are chemical changes.', 'Both are caused by cooling.']",2,,closed choice,grade7,natural science,chemistry,Correct–Correct,Compare physical and chemical changes,"Matter is made of very small particles called atoms. Atoms can be linked together by chemical bonds. When two or more atoms link together, they form a molecule.
In a chemical change, the chemical bonds in the molecules break. The atoms then link together to form different molecules. The types of molecules in matter before and after a chemical change are always different.
Some chemical changes are caused by heating or cooling. For example, burning a piece of paper is a chemical change caused by heating. As paper burns, paper molecules react with oxygen molecules in the air. This reaction breaks the chemical bonds in the molecules. The atoms then link together in a different way to form different molecules. For example, carbon dioxide molecules are formed when paper burns.
In a physical change, chemical bonds do not break. The types of molecules in matter before and after a physical change are always the same.
A change of state is a type of physical change. Changes of state can be caused by heating or cooling. For example, water vaporizing is a physical change that can be caused by heating. Liquid water and water vapor are made of the same type of matter: water.
The law of conservation of mass says that all physical and chemical changes conserve mass. Conserve means to keep the same. So, the total mass before a physical or chemical change is equal to the total mass after the change.","Step 1: Think about each change.
Boiling an egg is a chemical change. The heat causes the matter in the egg to change. Cooked eggs and raw eggs are made of different types of matter.
Acid rain weathering a marble statue is a chemical change. The acid rain reacts with the outside of the statue and breaks it down into a different type of matter. This new matter is then washed away by the rain. Acid rain is a type of pollution. It forms when smoke from automobiles and factories mixes with water in clouds.
Acid rain is a type of pollution. It forms when automobiles and factories release smoke containing sulfur or nitrogen. Some of these chemicals react with water in the atmosphere. The reaction forms droplets of water that can fall back to the ground as acid rain.
Step 2: Look at each answer choice.
Both are only physical changes.
Both changes are chemical changes. They are not physical changes.
Both are chemical changes.
Both changes are chemical changes. The type of matter before and after each change is different.
Both are caused by heating.
Cooking is caused by heating. But acid rain weathering a marble statue is not.
Both are caused by cooling.
Neither change is caused by cooling.",(C),1,C,C,Reasoning:Boiling an egg and weathering a marble statue are chemical changes. Boiling an egg and weathering a marble statue are chemical changes. The final answer: (C).,Boiling an egg and weathering a marble statue are chemical changes. Boiling an egg and weathering a marble statue are chemical changes.,C,1
2018,,"What do these two changes have in common?
an old sandwich rotting in a trashcan
a piece of apple turning brown","['Both are only physical changes.', 'Both are caused by heating.', 'Both are caused by cooling.', 'Both are chemical changes.']",3,,closed choice,grade4,natural science,chemistry,Correct–Correct,Compare physical and chemical changes,"Chemical changes and physical changes are two common ways matter can change.
In a chemical change, the type of matter changes. The types of matter before and after a chemical change are always different.
Some chemical changes are caused by heating or cooling. For example, burning a piece of paper is a chemical change caused by heating. When paper gets hot enough, it re­acts with oxygen in the air and burns. The paper and oxygen change into ash and smoke.
In a physical change, the type of matter stays the same. The types of matter before and after a physical change are always the same.
A change of state is a type of physical change. Changes of state can be caused by heating or cooling. For example, ice melting is a physical change that can be caused by heating. Ice and liquid water are made of the same type of matter: water.
The law of conservation of mass says that all physical and chemical changes conserve mass. Conserve means to keep the same. So, the total mass before a physical or chemical change is equal to the total mass after the change.","Step 1: Think about each change.
A sandwich rotting is a chemical change. The matter in the sandwich breaks down and slowly turns into a different type of matter.
A piece of apple turning brown is a chemical change. The apple reacts with oxygen in the air and turns into a different type of matter.
If you scrape off the brown layer of the apple, the inside is still white. The inside hasn't touched the air. So the chemical change didn't happen to that part of the apple.
Step 2: Look at each answer choice.
Both are only physical changes.
Both changes are chemical changes. They are not physical changes.
Both are chemical changes.
Both changes are chemical changes. The type of matter before and after each change is different.
Both are caused by heating.
Neither change is caused by heating.
Both are caused by cooling.
Neither change is caused by cooling.",(D),1,D,D,Reasoning:A sandwich rotting in a trashcan and an apple turning brown are both chemical changes. The final answer: (D).,A sandwich rotting in a trashcan and an apple turning brown are both chemical changes.,D,1
1523,,"What do these two changes have in common?
using polish to remove tarnish from a silver spoon
a penny tarnishing","['Both are chemical changes.', 'Both are caused by heating.', 'Both are caused by cooling.', 'Both are only physical changes.']",0,,closed choice,grade8,natural science,chemistry,Correct–Correct,Compare physical and chemical changes,"Matter is made of very small particles called atoms. Atoms can be linked together by chemical bonds. When two or more atoms link together, they form a molecule.
In a chemical change, the chemical bonds in the molecules break. The atoms then link together to form different molecules. The types of molecules in matter before and after a chemical change are always different.
Some chemical changes are caused by heating or cooling. For example, burning a piece of paper is a chemical change caused by heating. As paper burns, paper molecules react with oxygen molecules in the air. This reaction breaks the chemical bonds in the molecules. The atoms then link together in a different way to form different molecules. For example, carbon dioxide molecules are formed when paper burns.
In a physical change, chemical bonds do not break. The types of molecules in matter before and after a physical change are always the same.
A change of state is a type of physical change. Changes of state can be caused by heating or cooling. For example, water vaporizing is a physical change that can be caused by heating. Liquid water and water vapor are made of the same type of matter: water.
The law of conservation of mass says that all physical and chemical changes conserve mass. Conserve means to keep the same. So, the total mass before a physical or chemical change is equal to the total mass after the change.","Step 1: Think about each change.
A tarnished silver spoon is one that has become less shiny over time. Polishing the spoon makes it look shiny again.
The polish changes the tarnish into a different type of matter that can be easily wiped away. So, using polish to remove tarnish from silver is a chemical change.
Metal turning less shiny over time is called tarnishing. A penny tarnishing is a chemical change. When air touches the penny, the surface of the penny changes into a different type of matter. This matter makes the penny dull.
Step 2: Look at each answer choice.
Both are only physical changes.
Both changes are chemical changes. They are not physical changes.
Both are chemical changes.
Both changes are chemical changes. The type of matter before and after each change is different.
Both are caused by heating.
Neither change is caused by heating.
Both are caused by cooling.
Neither change is caused by cooling.",(A),1,A,A,Reasoning:Nickel tarnish can be removed by using polish. Polish removes tarnish from silver spoons. The final answer: (A).,Nickel tarnish can be removed by using polish. Polish removes tarnish from silver spoons.,A,1
