,image,question,choices,answer,hint,task,grade,subject,topic,category,skill,lecture,solution,baseline_result,correct/incorrect,predicted_letter,gold_letter,CoT_result,reasoning,predicted_letter_CoT,correct/incorrect_CoT
12575,,Select the invertebrate.,"['pipevine swallowtail butterfly', 'human', 'whiptail lizard', 'cockatoo']",0,"Hint: Insects, spiders, and worms are invertebrates.",closed choice,grade5,natural science,biology,Flip-to-correct,Identify vertebrates and invertebrates,"Vertebrates and invertebrates are both groups of animals.
A vertebrate has a backbone. The backbone is made of many bones in an animal's back. A vertebrate's backbone helps connect the different parts of its body. In the drawings below, each vertebrate's backbone is colored orange.
An invertebrate does not have a backbone. In fact, invertebrates do not have any bones! Some invertebrates have an outer cover on their body called an exoskeleton. Other invertebrates have a soft body.","A whiptail lizard is a reptile. Like other reptiles, a whiptail lizard is a vertebrate. It has a backbone.
A cockatoo is a bird. Like other birds, a cockatoo is a vertebrate. It has a backbone.
A human is a mammal. Like other mammals, a human is a vertebrate. It has a backbone.
A pipevine swallowtail butterfly is an insect. Like other insects, a pipevine swallowtail butterfly is an invertebrate. It does not have a backbone. It has an exoskeleton.",pipevine swallowtail butterfly,0,,A,Reasoning:Pipevine swallowtail butterfly is a species of invertebrate. Pipevine swallowtail butterfly is an invertebrate. The final answer: (A).,Pipevine swallowtail butterfly is a species of invertebrate. Pipevine swallowtail butterfly is an invertebrate.,A,1
4130,,Select the bird.,"['grass frog', 'arroyo toad', 'penguin', 'coral snake']",2,,closed choice,grade5,natural science,biology,Flip-to-correct,"Identify mammals, birds, fish, reptiles, and amphibians","Birds have feathers, two wings, and a beak.","A coral snake is a reptile. It has scaly, waterproof skin.
Coral snakes spend most of their time underground or hiding under leaves.
A grass frog is an amphibian. It has moist skin and begins its life in water.
Frogs live near water or in damp places. Most frogs lay their eggs in water.
An arroyo toad is an amphibian. It has moist skin and begins its life in water.
Toads do not have teeth! They swallow their food whole.
A penguin is a bird. It has feathers, two wings, and a beak.
Penguins live near water. Penguins cannot fly! They use their wings to swim.",A,0,A,C,Reasoning:A penguin is a species of bird. The final answer: (C).,A penguin is a species of bird.,C,1
8804,,"Which type of sentence is this?
Raymond always approaches difficult tasks enthusiastically, and he frequently motivates others with his energy and fervor.","['simple', 'compound', 'complex', 'compound-complex']",1,,closed choice,grade9,language science,grammar,Flip-to-correct,"Is the sentence simple, compound, complex, or compound-complex?","A clause is a group of words that contains both a subject and a predicate.
An independent clause is a complete thought that can stand alone as a sentence. A dependent clause (or subordinate clause) is not a complete thought and cannot stand alone as a sentence.
the oranges on our tree are ripe
The clause can stand alone. It is independent.
after we pick up Kevin from work
The clause cannot stand alone. It is dependent.
A simple sentence is made up of a single independent clause.
Ben and I spent all day relaxing by the pool.
Some simple sentences have introductory phrases, but the introductory phrase is part of the predicate.
In the winter, Ben usually wears his heavy coat.
Ben usually wears his heavy coat in the winter.
A compound sentence is made up of two independent clauses joined by a coordinating conjunction such as and, but, or, or so.
We saw the flash of lightning, and seconds later we heard a rumble of thunder.
A complex sentence is made up of an independent clause and a dependent clause. The dependent clause in a complex sentence usually begins with a subordinating conjunction or relative pronoun. Subordinating conjunctions include after, although, as, because, before, if, since, unless, until, when, and while. Relative pronouns include that, which, who, whom, or whose.
If she ever gets the chance, Terri would love to visit the Egyptian pyramids.
During his trip to Italy, Tony visited the Trevi Fountain, which is in Rome.
A compound-complex sentence is made up of two or more independent clauses and one or more dependent clauses.
After Samantha left work, she stopped at the bank, and then she went to the gym.
Sometimes a dependent clause in a complex or compound-complex sentence can interrupt an independent clause.
Orcas that are kept in captivity often have bent dorsal fins.","The sentence is compound. It is made up of two independent clauses joined by the coordinating conjunction and.
Raymond always approaches difficult tasks enthusiastically, and he frequently motivates others with his energy and fervor.",Raymond always approaches difficult tasks,0,,B,"Reasoning:Raymond always approaches difficult tasks enthusiastically, and he frequently motivates others with his energy and fervor. The final answer: (B).","Raymond always approaches difficult tasks enthusiastically, and he frequently motivates others with his energy and fervor.",B,1
10921,,Select the vertebrate.,"['redback spider', 'human', 'grasshopper', 'saturn butterfly']",1,"Hint: Mammals, birds, fish, reptiles, and amphibians are vertebrates.",closed choice,grade4,natural science,biology,Flip-to-correct,Identify vertebrates and invertebrates,"Vertebrates and invertebrates are both groups of animals.
A vertebrate has a backbone. The backbone is made of many bones in an animal's back. A vertebrate's backbone helps connect the different parts of its body. In the drawings below, each vertebrate's backbone is colored orange.
An invertebrate does not have a backbone. In fact, invertebrates do not have any bones! Some invertebrates have an outer cover on their body called an exoskeleton. Other invertebrates have a soft body.","A saturn butterfly is an insect. Like other insects, a saturn butterfly is an invertebrate. It does not have a backbone. It has an exoskeleton.
Like other spiders, a redback spider is an invertebrate. It does not have a backbone. It has an exoskeleton.
A grasshopper is an insect. Like other insects, a grasshopper is an invertebrate. It does not have a backbone. It has an exoskeleton.
A human is a mammal. Like other mammals, a human is a vertebrate. It has a backbone.",A,0,A,B,Reasoning:Vertebrates are the only living beings. Humans are the only living beings. The final answer: (B).,Vertebrates are the only living beings. Humans are the only living beings.,B,1
6428,,How long is a ladybug?,"['9 meters', '9 kilometers', '9 millimeters', '9 centimeters']",2,Select the best estimate.,closed choice,grade6,natural science,units-and-measurement,Flip-to-correct,"Choose metric units of distance, mass, and volume","Measurements are written with both a number and a unit. The unit comes after the number. The unit shows what the number means.
When you are using metric units, length can be written with units of millimeters, centimeters, meters, or kilometers. One meter contains 100 centimeters or 1,000 millimeters. So, 1 meter is larger than 1 centimeter, and 1 centimeter is larger than 1 millimeter.
The tip of the pencil shown here is only 1 millimeter wide, but the pencil is about 16 centimeters long.
A red fox is about 1 meter long. The Sydney Harbour Bridge in Australia is about 1,000 meters, or 1 kilometer, in length.","The best estimate for the length of a ladybug is 9 millimeters.
9 centimeters, 9 meters, and 9 kilometers are all too long.",D,0,D,C,Reasoning:A ladybug is 9 cm long. The final answer: (C).,A ladybug is 9 cm long.,C,1
1948,,Select the invertebrate.,"['diving beetle', 'blue jay', 'harvest mouse', 'komodo dragon']",0,"Hint: Insects, spiders, and worms are invertebrates.",closed choice,grade5,natural science,biology,Flip-to-correct,Identify vertebrates and invertebrates,"Vertebrates and invertebrates are both groups of animals.
A vertebrate has a backbone. The backbone is made of many bones in an animal's back. A vertebrate's backbone helps connect the different parts of its body. In the drawings below, each vertebrate's backbone is colored orange.
An invertebrate does not have a backbone. In fact, invertebrates do not have any bones! Some invertebrates have an outer cover on their body called an exoskeleton. Other invertebrates have a soft body.","A diving beetle is an insect. Like other insects, a diving beetle is an invertebrate. It does not have a backbone. It has an exoskeleton.
A harvest mouse is a mammal. Like other mammals, a harvest mouse is a vertebrate. It has a backbone.
A blue jay is a bird. Like other birds, a blue jay is a vertebrate. It has a backbone.
A komodo dragon is a reptile. Like other reptiles, a komodo dragon is a vertebrate. It has a backbone.",diving beetle,0,,A,Reasoning:Diving beetle is an invertebrate. The final answer: (A).,Diving beetle is an invertebrate.,A,1
4385,,How long is a garden snail?,"['43 kilometers', '43 millimeters', '43 centimeters', '43 meters']",1,Select the best estimate.,closed choice,grade7,natural science,units-and-measurement,Flip-to-correct,"Choose metric units of distance, mass, and volume","Measurements are written with both a number and a unit. The unit comes after the number. The unit shows what the number means.
When you are using metric units, length can be written with units of millimeters, centimeters, meters, or kilometers. One meter contains 100 centimeters or 1,000 millimeters. So, 1 meter is larger than 1 centimeter, and 1 centimeter is larger than 1 millimeter.
The tip of the pencil shown here is only 1 millimeter wide, but the pencil is about 16 centimeters long.
A red fox is about 1 meter long. The Sydney Harbour Bridge in Australia is about 1,000 meters, or 1 kilometer, in length.","The best estimate for the length of a garden snail is 43 millimeters.
43 centimeters, 43 meters, and 43 kilometers are all too long.",43 millimeters,0,,B,Reasoning:Millimeters is the length of an inch. A garden snail is 43 millimeters long. The final answer: (B).,Millimeters is the length of an inch. A garden snail is 43 millimeters long.,B,1
8233,,"Complete the sentence.
The Eighth Amendment says that the government cannot use any punishments that are ().","['cruel and unusual', 'embarrassing', 'violent', 'expensive']",0,,closed choice,grade4,social science,civics,Flip-to-correct,The Bill of Rights,,"Today, the United States often uses punishments that are expensive, violent, or embarrassing. However, the Eighth Amendment says that the government cannot use any punishments that are ""cruel and unusual."" What makes a punishment ""cruel or unusual""? The answer is not clear. The Eighth Amendment doesn't talk about specific punishments. Over time, Americans have changed their views on what is cruel and unusual. For example, the government decided in 2005 that it was cruel to put someone to death for a crime he or she committed before the age of 18. Today, Americans continue to question what is cruel and unusual. In the future, some punishments used today may be outlawed. The text of the Eighth Amendment is below. Does it have rules against anything else? Excessive bail shall not be required, nor excessive fines imposed, nor cruel and unusual punishments inflicted.",(C),0,C,A,Reasoning:The Eighth Amendment says that the government cannot use any punishments that are cruel and unusual. The final answer: (A).,The Eighth Amendment says that the government cannot use any punishments that are cruel and unusual.,A,1
12050,,Select the reptile.,"['domestic pig', 'tortoise', 'leafy seadragon', 'American toad']",1,,closed choice,grade5,natural science,biology,Flip-to-correct,"Identify mammals, birds, fish, reptiles, and amphibians","Reptiles have scaly, waterproof skin. Most reptiles live on land.","A leafy seadragon is a fish. It lives underwater. It has fins, not limbs.
A seadragon's body looks like a clump of seaweed. This helps the seadragon hide from its predators.
An American toad is an amphibian. It has moist skin and begins its life in water.
Toads do not have teeth! They swallow their food whole.
A domestic pig is a mammal. It has hair and feeds its young milk.
Pigs are omnivores. This means that they can eat both plants and animals.
A tortoise is a reptile. It has scaly, waterproof skin.
A tortoise's shell protects it from predators. When a tortoise feels threatened, it can pull its head and legs inside its shell.",D,0,D,B,Reasoning:American toad is a reptile. The final answer: (B).,American toad is a reptile.,B,1
6639,,Select the animal.,"['Oak trees can have thick branches.', 'Cherry trees can grow white or pink flowers.', 'Yellow jackets drink nectar and fruit.', 'Daffodils have a green stem.']",2,,closed choice,grade3,natural science,biology,Flip-to-correct,Identify plants and animals,"Plants and animals are living things. Living things are called organisms.
Plants come in many shapes and sizes. Most plants grow in the ground. They might grow leaves, flowers, and fruit. Plants cannot move around on their own like animals can.
Animals also come in many shapes and sizes. Most animals can move around. Animals might run, swim, jump, or fly. Animals eat plants or other organisms for food.","An oak tree is a plant. It can have thick branches.
Acorns grow on oak trees. Acorns are small nuts with a seed inside.
A yellow jacket is an animal. It drinks nectar and eats fruit.
A yellow jacket is an insect. Yellow jackets have two wings.
A cherry tree is a plant. It can grow white or pink flowers.
Many types of cherry trees come from Japan. Some of these trees have flowers, but no cherries!
A daffodil is a plant. It has a green stem.
Most daffodil plants grow a single flower.",D,0,D,C,Reasoning:Oak trees can have thick branches. Yellow jackets drink nectar and fruit. The final answer: (C).,Oak trees can have thick branches. Yellow jackets drink nectar and fruit.,C,1
