,image,question,choices,answer,hint,task,grade,subject,topic,category,skill,lecture,solution,baseline_result,correct/incorrect,predicted_letter,gold_letter,CoT_result,reasoning,predicted_letter_CoT,correct/incorrect_CoT
1919,,Select the invertebrate.,"['lionfish', 'penguin', 'julia butterfly', 'grizzly bear']",2,"Hint: Insects, spiders, and worms are invertebrates.",closed choice,grade5,natural science,biology,Incorrect–Incorrect,Identify vertebrates and invertebrates,"Vertebrates and invertebrates are both groups of animals.
A vertebrate has a backbone. The backbone is made of many bones in an animal's back. A vertebrate's backbone helps connect the different parts of its body. In the drawings below, each vertebrate's backbone is colored orange.
An invertebrate does not have a backbone. In fact, invertebrates do not have any bones! Some invertebrates have an outer cover on their body called an exoskeleton. Other invertebrates have a soft body.","A lionfish is a fish. Like other fish, a lionfish is a vertebrate. It has a backbone.
A penguin is a bird. Like other birds, a penguin is a vertebrate. It has a backbone.
A grizzly bear is a mammal. Like other mammals, a grizzly bear is a vertebrate. It has a backbone.
A julia butterfly is an insect. Like other insects, a julia butterfly is an invertebrate. It does not have a backbone. It has an exoskeleton.",lionfish,0,,C,"Reasoning:Invertebrates include lionfish, penguin, and grizzly bear. The final answer: (A).","Invertebrates include lionfish, penguin, and grizzly bear.",A,0
1922,,"Which type of sentence is this?
An avid reader, Logan attends weekly book club meetings, and he finishes several novels every month.","['compound', 'simple', 'compound-complex', 'complex']",0,,closed choice,grade10,language science,grammar,Incorrect–Incorrect,"Is the sentence simple, compound, complex, or compound-complex?","A clause is a group of words that contains both a subject and a predicate.
An independent clause is a complete thought that can stand alone as a sentence. A dependent clause (or subordinate clause) is not a complete thought and cannot stand alone as a sentence.
the oranges on our tree are ripe
The clause can stand alone. It is independent.
after we pick up Kevin from work
The clause cannot stand alone. It is dependent.
A simple sentence is made up of a single independent clause.
Ben and I spent all day relaxing by the pool.
Some simple sentences have introductory phrases, but the introductory phrase is part of the predicate.
In the winter, Ben usually wears his heavy coat.
Ben usually wears his heavy coat in the winter.
A compound sentence is made up of two independent clauses joined by a coordinating conjunction such as and, but, or, or so.
We saw the flash of lightning, and seconds later we heard a rumble of thunder.
A complex sentence is made up of an independent clause and a dependent clause. The dependent clause in a complex sentence usually begins with a subordinating conjunction or relative pronoun. Subordinating conjunctions include after, although, as, because, before, if, since, unless, until, when, and while. Relative pronouns include that, which, who, whom, or whose.
If she ever gets the chance, Terri would love to visit the Egyptian pyramids.
During his trip to Italy, Tony visited the Trevi Fountain, which is in Rome.
A compound-complex sentence is made up of two or more independent clauses and one or more dependent clauses.
After Samantha left work, she stopped at the bank, and then she went to the gym.
Sometimes a dependent clause in a complex or compound-complex sentence can interrupt an independent clause.
Orcas that are kept in captivity often have bent dorsal fins.","The sentence is compound. It is made up of two independent clauses joined by the coordinating conjunction and.
An avid reader, Logan attends weekly book club meetings, and he finishes several novels every month.",Logan attends weekly book,0,,A,"Reasoning:A book club is a group of people who meet weekly to read books. Logan attends weekly book club meetings, and he finishes several novels every month. The final answer: (D).","A book club is a group of people who meet weekly to read books. Logan attends weekly book club meetings, and he finishes several novels every month.",D,0
9907,,How long is a kitchen table?,"['8 yards', '8 miles', '8 inches', '8 feet']",3,Select the best estimate.,closed choice,grade6,natural science,units-and-measurement,Incorrect–Incorrect,"Choose customary units of distance, mass, and volume","Measurements are written with both a number and a unit. The unit comes after the number. The unit shows what the number means.
When you are using customary units, length may be written with units of inches, feet, yards, or miles.
There are 12 inches in 1 foot, and 3 feet in 1 yard. There are 5,280 feet in 1 mile.
A football is about 1 foot long. A football field is 100 yards long.","The best estimate for the length of a kitchen table is 8 feet.
8 inches is too short. 8 yards and 8 miles are too long.",C,0,C,D,Reasoning:A kitchen table is 8 inches long. The final answer: (C).,A kitchen table is 8 inches long.,C,0
9435,,"What do these two changes have in common?
water evaporating from a lake
cooking a pancake","['Both are caused by cooling.', 'Both are caused by heating.', 'Both are only physical changes.', 'Both are chemical changes.']",1,,closed choice,grade4,natural science,chemistry,Incorrect–Incorrect,Compare physical and chemical changes,"Chemical changes and physical changes are two common ways matter can change.
In a chemical change, the type of matter changes. The types of matter before and after a chemical change are always different.
Some chemical changes are caused by heating or cooling. For example, burning a piece of paper is a chemical change caused by heating. When paper gets hot enough, it re­acts with oxygen in the air and burns. The paper and oxygen change into ash and smoke.
In a physical change, the type of matter stays the same. The types of matter before and after a physical change are always the same.
A change of state is a type of physical change. Changes of state can be caused by heating or cooling. For example, ice melting is a physical change that can be caused by heating. Ice and liquid water are made of the same type of matter: water.
The law of conservation of mass says that all physical and chemical changes conserve mass. Conserve means to keep the same. So, the total mass before a physical or chemical change is equal to the total mass after the change.","Step 1: Think about each change.
Water evaporating from a lake is a change of state. So, it is a physical change. The liquid changes into a gas, but a different type of matter is not formed.
Cooking a pancake is a chemical change. Pancakes are made from pancake batter. A cooked pancake is a different type of matter than pancake batter. Pancake batter is wet and slippery. Cooked pancakes are fluffy and can be good to eat!
Step 2: Look at each answer choice.
Both are only physical changes.
Water evaporating is a physical change. But cooking a pancake is not.
Both are chemical changes.
Cooking a pancake is a chemical change. But water evaporating from a lake is not.
Both are caused by heating.
Both changes are caused by heating.
Both are caused by cooling.
Neither change is caused by cooling.",(D),0,D,B,Reasoning:Water evaporating from a lake causes cooling. Evaporation and cooling are both chemical changes. The final answer: (D).,Water evaporating from a lake causes cooling. Evaporation and cooling are both chemical changes.,D,0
9376,,Select the solid.,"['air inside a soccer ball', 'vinegar', 'water in a sink', 'ruler']",3,,closed choice,grade3,natural science,physics,Incorrect–Incorrect,"Identify solids, liquids, and gases","Solid, liquid, and gas are states of matter. Matter is anything that takes up space. Matter can come in different states, or forms.
When matter is a solid, it has a definite volume and a definite shape. So, a solid has a size and shape of its own.
Some solids can be easily folded, bent, or broken. A piece of paper is a solid. Also, some solids are very small. A grain of sand is a solid.
When matter is a liquid, it has a definite volume but not a definite shape. So, a liquid has a size of its own, but it does not have a shape of its own. Think about pouring juice from a bottle into a cup. The juice still takes up the same amount of space, but it takes the shape of the bottle.
Some liquids do not pour as easily as others. Honey and milk are both liquids. But pouring honey takes more time than pouring milk.
When matter is a gas, it does not have a definite volume or a definite shape. A gas expands, or gets bigger, until it completely fills a space. A gas can also get smaller if it is squeezed into a smaller space.
Many gases are invisible. Air is a gas.","A ruler is a solid. A solid has a size and shape of its own. If you put a ruler in a box, the ruler will keep its shape.
The air inside a soccer ball is a gas. A gas expands to fill a space. The air fills all the space inside the soccer ball. If air leaks out, it will expand into the space around the ball.
Vinegar is a liquid. A liquid takes the shape of any container it is in. If you pour vinegar into a different container, the vinegar will take the shape of that container. But the vinegar will still take up the same amount of space.
The water in a sink is a liquid. A liquid takes the shape of any container it is in. If you move the water from a sink into a different container, the water will take the shape of that container. But the water will still take up the same amount of space.",B,0,B,D,"Reasoning:Water in a sink is a solid. So, the final answer is (B).",,,0
7968,,How long is a soccer field?,"['90 centimeters', '90 kilometers', '90 meters', '90 millimeters']",2,Select the best estimate.,closed choice,grade6,natural science,units-and-measurement,Incorrect–Incorrect,"Choose metric units of distance, mass, and volume","Measurements are written with both a number and a unit. The unit comes after the number. The unit shows what the number means.
When you are using metric units, length can be written with units of millimeters, centimeters, meters, or kilometers. One meter contains 100 centimeters or 1,000 millimeters. So, 1 meter is larger than 1 centimeter, and 1 centimeter is larger than 1 millimeter.
The tip of the pencil shown here is only 1 millimeter wide, but the pencil is about 16 centimeters long.
A red fox is about 1 meter long. The Sydney Harbour Bridge in Australia is about 1,000 meters, or 1 kilometer, in length.","The best estimate for the length of a soccer field is 90 meters.
90 millimeters and 90 centimeters are too short. 90 kilometers is too long.",90 centimeters,0,,C,Reasoning:A soccer field is 90 meters long. The final answer: (B).,A soccer field is 90 meters long.,B,0
7468,,Select the solid.,"['milk', 'water in a fishbowl', 'rain puddle', 'beans']",3,,closed choice,grade3,natural science,physics,Incorrect–Incorrect,"Identify solids, liquids, and gases","Solid, liquid, and gas are states of matter. Matter is anything that takes up space. Matter can come in different states, or forms.
When matter is a solid, it has a definite volume and a definite shape. So, a solid has a size and shape of its own.
Some solids can be easily folded, bent, or broken. A piece of paper is a solid. Also, some solids are very small. A grain of sand is a solid.
When matter is a liquid, it has a definite volume but not a definite shape. So, a liquid has a size of its own, but it does not have a shape of its own. Think about pouring juice from a bottle into a cup. The juice still takes up the same amount of space, but it takes the shape of the bottle.
Some liquids do not pour as easily as others. Honey and milk are both liquids. But pouring honey takes more time than pouring milk.
When matter is a gas, it does not have a definite volume or a definite shape. A gas expands, or gets bigger, until it completely fills a space. A gas can also get smaller if it is squeezed into a smaller space.
Many gases are invisible. Air is a gas.","The water in a fishbowl is a liquid. A liquid takes the shape of any container it is in. If you pour water from a fishbowl into a different container, the water will take the shape of that container. But the water will still take up the same amount of space.
Milk is a liquid. A liquid takes the shape of any container it is in. If you pour milk into a different container, the milk will take the shape of that container. But the milk will still take up the same amount of space.
A rain puddle is a liquid. A liquid takes the shape of any container it is in. If you collect rainwater in a bucket, the rainwater will take the shape of the bucket. But the rainwater will still take up the same amount of space.
A bean is a solid. A solid has a size and shape of its own. If you put many beans into a jar, the group of beans will take the shape of the jar, as a liquid would. But be careful! A bean is not a liquid. Each bean still has a size and shape of its own.",A,0,A,D,Reasoning:Milk is a solid. The final answer: (A).,Milk is a solid.,A,0
10260,,Select the invertebrate.,"['green sea turtle', 'sparrow', 'koala', 'locust']",3,"Hint: Insects, spiders, and worms are invertebrates.",closed choice,grade5,natural science,biology,Incorrect–Incorrect,Identify vertebrates and invertebrates,"Vertebrates and invertebrates are both groups of animals.
A vertebrate has a backbone. The backbone is made of many bones in an animal's back. A vertebrate's backbone helps connect the different parts of its body. In the drawings below, each vertebrate's backbone is colored orange.
An invertebrate does not have a backbone. In fact, invertebrates do not have any bones! Some invertebrates have an outer cover on their body called an exoskeleton. Other invertebrates have a soft body.","A green sea turtle is a reptile. Like other reptiles, a green sea turtle is a vertebrate. It has a backbone.
A sparrow is a bird. Like other birds, a sparrow is a vertebrate. It has a backbone.
A locust is an insect. Like other insects, a locust is an invertebrate. It does not have a backbone. It has an exoskeleton.
A koala is a mammal. Like other mammals, a koala is a vertebrate. It has a backbone.",green sea turtle,0,,D,Reasoning:Green sea turtle is an invertebrate. The final answer: (A).,Green sea turtle is an invertebrate.,A,0
10098,,Select the invertebrate.,"['rockfish', 'green frog', 'Canadian lynx', 'monarch butterfly']",3,"Hint: Insects, spiders, and worms are invertebrates.",closed choice,grade5,natural science,biology,Incorrect–Incorrect,Identify vertebrates and invertebrates,"Vertebrates and invertebrates are both groups of animals.
A vertebrate has a backbone. The backbone is made of many bones in an animal's back. A vertebrate's backbone helps connect the different parts of its body. In the drawings below, each vertebrate's backbone is colored orange.
An invertebrate does not have a backbone. In fact, invertebrates do not have any bones! Some invertebrates have an outer cover on their body called an exoskeleton. Other invertebrates have a soft body.","A monarch butterfly is an insect. Like other insects, a monarch butterfly is an invertebrate. It does not have a backbone. It has an exoskeleton.
A rockfish is a fish. Like other fish, a rockfish is a vertebrate. It has a backbone.
A Canadian lynx is a mammal. Like other mammals, a Canadian lynx is a vertebrate. It has a backbone.
A green frog is an amphibian. Like other amphibians, a green frog is a vertebrate. It has a backbone.",(A),0,A,D,Reasoning:Rockfishes are invertebrates. Rockfishes are a type of invertebrates. The final answer: (B).,Rockfishes are invertebrates. Rockfishes are a type of invertebrates.,B,0
2766,,"Which type of sentence is this?
Lester took several incredible panoramic photographs of the sweeping view from the top of Table Mountain.","['compound', 'complex', 'simple', 'compound-complex']",2,,closed choice,grade9,language science,grammar,Incorrect–Incorrect,"Is the sentence simple, compound, complex, or compound-complex?","A clause is a group of words that contains both a subject and a predicate.
An independent clause is a complete thought that can stand alone as a sentence. A dependent clause (or subordinate clause) is not a complete thought and cannot stand alone as a sentence.
the oranges on our tree are ripe
The clause can stand alone. It is independent.
after we pick up Kevin from work
The clause cannot stand alone. It is dependent.
A simple sentence is made up of a single independent clause.
Ben and I spent all day relaxing by the pool.
Some simple sentences have introductory phrases, but the introductory phrase is part of the predicate.
In the winter, Ben usually wears his heavy coat.
Ben usually wears his heavy coat in the winter.
A compound sentence is made up of two independent clauses joined by a coordinating conjunction such as and, but, or, or so.
We saw the flash of lightning, and seconds later we heard a rumble of thunder.
A complex sentence is made up of an independent clause and a dependent clause. The dependent clause in a complex sentence usually begins with a subordinating conjunction or relative pronoun. Subordinating conjunctions include after, although, as, because, before, if, since, unless, until, when, and while. Relative pronouns include that, which, who, whom, or whose.
If she ever gets the chance, Terri would love to visit the Egyptian pyramids.
During his trip to Italy, Tony visited the Trevi Fountain, which is in Rome.
A compound-complex sentence is made up of two or more independent clauses and one or more dependent clauses.
After Samantha left work, she stopped at the bank, and then she went to the gym.
Sometimes a dependent clause in a complex or compound-complex sentence can interrupt an independent clause.
Orcas that are kept in captivity often have bent dorsal fins.","The sentence is simple. It is a single independent clause.
Lester took several incredible panoramic photographs of the sweeping view from the top of Table Mountain.",(A),0,A,C,Reasoning:Table Mountain is a mountain. Panoramic photographs can be taken in many ways. The final answer: (B).,Table Mountain is a mountain. Panoramic photographs can be taken in many ways.,B,0
