,image,question,choices,answer,hint,task,grade,subject,topic,category,skill,lecture,solution,baseline_result,correct/incorrect,predicted_letter,gold_letter,CoT_result,reasoning,predicted_letter_CoT,correct/incorrect_CoT
1919,,Select the invertebrate.,"['lionfish', 'penguin', 'julia butterfly', 'grizzly bear']",2,"Hint: Insects, spiders, and worms are invertebrates.",closed choice,grade5,natural science,biology,Incorrect–Incorrect,Identify vertebrates and invertebrates,"Vertebrates and invertebrates are both groups of animals.
A vertebrate has a backbone. The backbone is made of many bones in an animal's back. A vertebrate's backbone helps connect the different parts of its body. In the drawings below, each vertebrate's backbone is colored orange.
An invertebrate does not have a backbone. In fact, invertebrates do not have any bones! Some invertebrates have an outer cover on their body called an exoskeleton. Other invertebrates have a soft body.","A lionfish is a fish. Like other fish, a lionfish is a vertebrate. It has a backbone.
A penguin is a bird. Like other birds, a penguin is a vertebrate. It has a backbone.
A grizzly bear is a mammal. Like other mammals, a grizzly bear is a vertebrate. It has a backbone.
A julia butterfly is an insect. Like other insects, a julia butterfly is an invertebrate. It does not have a backbone. It has an exoskeleton.",lionfish,0,,C,"Reasoning:Invertebrates include lionfish, penguin, and grizzly bear. The final answer: (A).","Invertebrates include lionfish, penguin, and grizzly bear.",A,0
3808,,Select the living thing.,"['cell phone', 'giant clam', 'paper airplane', 'clay']",1,,closed choice,grade4,natural science,biology,Correct–Correct,Identify living and nonliving things,"All living things are made up of cells. Plants, animals, and some fungi have many cells. Other living things are made up of just one cell.
All living things need food and water. Water helps living things break down food and remove waste. Food gives living things energy. They use energy from food to grow and change.
All living things sense changes in their environment. Living things might sense changes by seeing, smelling, hearing, or feeling. Living things can respond to the changes they sense.","Clay is not a living thing.
Clay does not have all of the traits of a living thing. It can be formed into different shapes, but it does not grow or respond to the world around it. It does not need food or water.
A giant clam is a living thing.
Giant clams grow and respond to their environment. They need food and water. Giant clams are made up of many cells.
Giant clams are animals. They live in large shells that are attached to the ocean floor.
A cell phone is not a living thing.
A cell phone does not have all the traits of a living thing. It does many useful things, and even responds to the world around it. But it does not grow. It does not need food or water.
A paper airplane is not a living thing.
Paper airplanes do not have all of the traits of living things. They do not grow or respond to their environment. They do not need food or water.",B,1,B,B,Reasoning:Giant clam is a living thing. Giant clam can be selected. The final answer: (B).,Giant clam is a living thing. Giant clam can be selected.,B,1
6573,,How long is an adult alligator?,"['15 inches', '15 miles', '15 feet', '15 yards']",2,Select the best estimate.,closed choice,grade6,natural science,units-and-measurement,Correct–Correct,"Choose customary units of distance, mass, and volume","Measurements are written with both a number and a unit. The unit comes after the number. The unit shows what the number means.
When you are using customary units, length may be written with units of inches, feet, yards, or miles.
There are 12 inches in 1 foot, and 3 feet in 1 yard. There are 5,280 feet in 1 mile.
A football is about 1 foot long. A football field is 100 yards long.","The best estimate for the length of an adult alligator is 15 feet.
15 inches is too short. 15 yards and 15 miles are too long.",C,1,C,C,Reasoning:Adult alligators are about 15 inches long. The final answer: (C).,Adult alligators are about 15 inches long.,C,1
3574,,"Which type of sentence is this?
As Dan sat down on the rickety old chair, it abruptly collapsed beneath him.","['simple', 'compound-complex', 'compound', 'complex']",3,,closed choice,grade8,language science,grammar,Correct–Correct,"Is the sentence simple, compound, complex, or compound-complex?","A clause is a group of words that contains both a subject and a predicate.
An independent clause is a complete thought that can stand alone as a sentence. A dependent clause (or subordinate clause) is not a complete thought and cannot stand alone as a sentence.
the oranges on our tree are ripe
The clause can stand alone. It is independent.
after we pick up Kevin from work
The clause cannot stand alone. It is dependent.
A simple sentence is made up of a single independent clause.
Ben and I spent all day relaxing by the pool.
Some simple sentences have introductory phrases, but the introductory phrase is part of the predicate.
In the winter, Ben usually wears his heavy coat.
Ben usually wears his heavy coat in the winter.
A compound sentence is made up of two independent clauses joined by a coordinating conjunction such as and, but, or, or so.
We saw the flash of lightning, and seconds later we heard a rumble of thunder.
A complex sentence is made up of an independent clause and a dependent clause. The dependent clause in a complex sentence usually begins with a subordinating conjunction or relative pronoun. Subordinating conjunctions include after, although, as, because, before, if, since, unless, until, when, and while. Relative pronouns include that, which, who, whom, or whose.
If she ever gets the chance, Terri would love to visit the Egyptian pyramids.
During his trip to Italy, Tony visited the Trevi Fountain, which is in Rome.
A compound-complex sentence is made up of two or more independent clauses and one or more dependent clauses.
After Samantha left work, she stopped at the bank, and then she went to the gym.
Sometimes a dependent clause in a complex or compound-complex sentence can interrupt an independent clause.
Orcas that are kept in captivity often have bent dorsal fins.","The sentence is complex. It is made up of an independent clause and a dependent clause. The dependent clause begins with the subordinating conjunction as.
As Dan sat down on the rickety old chair, it abruptly collapsed beneath him.",(D),1,D,D,Reasoning:The chair collapsed beneath Dan when he sat down on it. The final answer: (D).,The chair collapsed beneath Dan when he sat down on it.,D,1
10363,,"Which type of sentence is this?
Lorraine Hansberry wrote the widely acclaimed 1959 Broadway play A Raisin in the Sun, and her accomplishment opened the door for other African American playwrights.","['compound', 'complex', 'simple', 'compound-complex']",0,,closed choice,grade10,language science,grammar,Correct–Correct,"Is the sentence simple, compound, complex, or compound-complex?","A clause is a group of words that contains both a subject and a predicate.
An independent clause is a complete thought that can stand alone as a sentence. A dependent clause (or subordinate clause) is not a complete thought and cannot stand alone as a sentence.
the oranges on our tree are ripe
The clause can stand alone. It is independent.
after we pick up Kevin from work
The clause cannot stand alone. It is dependent.
A simple sentence is made up of a single independent clause.
Ben and I spent all day relaxing by the pool.
Some simple sentences have introductory phrases, but the introductory phrase is part of the predicate.
In the winter, Ben usually wears his heavy coat.
Ben usually wears his heavy coat in the winter.
A compound sentence is made up of two independent clauses joined by a coordinating conjunction such as and, but, or, or so.
We saw the flash of lightning, and seconds later we heard a rumble of thunder.
A complex sentence is made up of an independent clause and a dependent clause. The dependent clause in a complex sentence usually begins with a subordinating conjunction or relative pronoun. Subordinating conjunctions include after, although, as, because, before, if, since, unless, until, when, and while. Relative pronouns include that, which, who, whom, or whose.
If she ever gets the chance, Terri would love to visit the Egyptian pyramids.
During his trip to Italy, Tony visited the Trevi Fountain, which is in Rome.
A compound-complex sentence is made up of two or more independent clauses and one or more dependent clauses.
After Samantha left work, she stopped at the bank, and then she went to the gym.
Sometimes a dependent clause in a complex or compound-complex sentence can interrupt an independent clause.
Orcas that are kept in captivity often have bent dorsal fins.","The sentence is compound. It is made up of two independent clauses joined by the coordinating conjunction and.
Lorraine Hansberry wrote the widely acclaimed 1959 Broadway play A Raisin in the Sun, and her accomplishment opened the door for other African American playwrights.",(A),1,A,A,Reasoning:A Raisin in the Sun is a 1959 Broadway play written by Lorraine Hansberry. Her accomplishment opened the door for other African American playwrights. The final answer: (A).,A Raisin in the Sun is a 1959 Broadway play written by Lorraine Hansberry. Her accomplishment opened the door for other African American playwrights.,A,1
1922,,"Which type of sentence is this?
An avid reader, Logan attends weekly book club meetings, and he finishes several novels every month.","['compound', 'simple', 'compound-complex', 'complex']",0,,closed choice,grade10,language science,grammar,Incorrect–Incorrect,"Is the sentence simple, compound, complex, or compound-complex?","A clause is a group of words that contains both a subject and a predicate.
An independent clause is a complete thought that can stand alone as a sentence. A dependent clause (or subordinate clause) is not a complete thought and cannot stand alone as a sentence.
the oranges on our tree are ripe
The clause can stand alone. It is independent.
after we pick up Kevin from work
The clause cannot stand alone. It is dependent.
A simple sentence is made up of a single independent clause.
Ben and I spent all day relaxing by the pool.
Some simple sentences have introductory phrases, but the introductory phrase is part of the predicate.
In the winter, Ben usually wears his heavy coat.
Ben usually wears his heavy coat in the winter.
A compound sentence is made up of two independent clauses joined by a coordinating conjunction such as and, but, or, or so.
We saw the flash of lightning, and seconds later we heard a rumble of thunder.
A complex sentence is made up of an independent clause and a dependent clause. The dependent clause in a complex sentence usually begins with a subordinating conjunction or relative pronoun. Subordinating conjunctions include after, although, as, because, before, if, since, unless, until, when, and while. Relative pronouns include that, which, who, whom, or whose.
If she ever gets the chance, Terri would love to visit the Egyptian pyramids.
During his trip to Italy, Tony visited the Trevi Fountain, which is in Rome.
A compound-complex sentence is made up of two or more independent clauses and one or more dependent clauses.
After Samantha left work, she stopped at the bank, and then she went to the gym.
Sometimes a dependent clause in a complex or compound-complex sentence can interrupt an independent clause.
Orcas that are kept in captivity often have bent dorsal fins.","The sentence is compound. It is made up of two independent clauses joined by the coordinating conjunction and.
An avid reader, Logan attends weekly book club meetings, and he finishes several novels every month.",Logan attends weekly book,0,,A,"Reasoning:A book club is a group of people who meet weekly to read books. Logan attends weekly book club meetings, and he finishes several novels every month. The final answer: (D).","A book club is a group of people who meet weekly to read books. Logan attends weekly book club meetings, and he finishes several novels every month.",D,0
9907,,How long is a kitchen table?,"['8 yards', '8 miles', '8 inches', '8 feet']",3,Select the best estimate.,closed choice,grade6,natural science,units-and-measurement,Incorrect–Incorrect,"Choose customary units of distance, mass, and volume","Measurements are written with both a number and a unit. The unit comes after the number. The unit shows what the number means.
When you are using customary units, length may be written with units of inches, feet, yards, or miles.
There are 12 inches in 1 foot, and 3 feet in 1 yard. There are 5,280 feet in 1 mile.
A football is about 1 foot long. A football field is 100 yards long.","The best estimate for the length of a kitchen table is 8 feet.
8 inches is too short. 8 yards and 8 miles are too long.",C,0,C,D,Reasoning:A kitchen table is 8 inches long. The final answer: (C).,A kitchen table is 8 inches long.,C,0
12575,,Select the invertebrate.,"['pipevine swallowtail butterfly', 'human', 'whiptail lizard', 'cockatoo']",0,"Hint: Insects, spiders, and worms are invertebrates.",closed choice,grade5,natural science,biology,Flip-to-correct,Identify vertebrates and invertebrates,"Vertebrates and invertebrates are both groups of animals.
A vertebrate has a backbone. The backbone is made of many bones in an animal's back. A vertebrate's backbone helps connect the different parts of its body. In the drawings below, each vertebrate's backbone is colored orange.
An invertebrate does not have a backbone. In fact, invertebrates do not have any bones! Some invertebrates have an outer cover on their body called an exoskeleton. Other invertebrates have a soft body.","A whiptail lizard is a reptile. Like other reptiles, a whiptail lizard is a vertebrate. It has a backbone.
A cockatoo is a bird. Like other birds, a cockatoo is a vertebrate. It has a backbone.
A human is a mammal. Like other mammals, a human is a vertebrate. It has a backbone.
A pipevine swallowtail butterfly is an insect. Like other insects, a pipevine swallowtail butterfly is an invertebrate. It does not have a backbone. It has an exoskeleton.",pipevine swallowtail butterfly,0,,A,Reasoning:Pipevine swallowtail butterfly is a species of invertebrate. Pipevine swallowtail butterfly is an invertebrate. The final answer: (A).,Pipevine swallowtail butterfly is a species of invertebrate. Pipevine swallowtail butterfly is an invertebrate.,A,1
9435,,"What do these two changes have in common?
water evaporating from a lake
cooking a pancake","['Both are caused by cooling.', 'Both are caused by heating.', 'Both are only physical changes.', 'Both are chemical changes.']",1,,closed choice,grade4,natural science,chemistry,Incorrect–Incorrect,Compare physical and chemical changes,"Chemical changes and physical changes are two common ways matter can change.
In a chemical change, the type of matter changes. The types of matter before and after a chemical change are always different.
Some chemical changes are caused by heating or cooling. For example, burning a piece of paper is a chemical change caused by heating. When paper gets hot enough, it re­acts with oxygen in the air and burns. The paper and oxygen change into ash and smoke.
In a physical change, the type of matter stays the same. The types of matter before and after a physical change are always the same.
A change of state is a type of physical change. Changes of state can be caused by heating or cooling. For example, ice melting is a physical change that can be caused by heating. Ice and liquid water are made of the same type of matter: water.
The law of conservation of mass says that all physical and chemical changes conserve mass. Conserve means to keep the same. So, the total mass before a physical or chemical change is equal to the total mass after the change.","Step 1: Think about each change.
Water evaporating from a lake is a change of state. So, it is a physical change. The liquid changes into a gas, but a different type of matter is not formed.
Cooking a pancake is a chemical change. Pancakes are made from pancake batter. A cooked pancake is a different type of matter than pancake batter. Pancake batter is wet and slippery. Cooked pancakes are fluffy and can be good to eat!
Step 2: Look at each answer choice.
Both are only physical changes.
Water evaporating is a physical change. But cooking a pancake is not.
Both are chemical changes.
Cooking a pancake is a chemical change. But water evaporating from a lake is not.
Both are caused by heating.
Both changes are caused by heating.
Both are caused by cooling.
Neither change is caused by cooling.",(D),0,D,B,Reasoning:Water evaporating from a lake causes cooling. Evaporation and cooling are both chemical changes. The final answer: (D).,Water evaporating from a lake causes cooling. Evaporation and cooling are both chemical changes.,D,0
4302,,Which organ provides a barrier against contaminants found in the environment?,"['skin', 'stomach', 'brain', 'muscles']",0,,closed choice,grade5,natural science,biology,Correct–Correct,Human organs and their functions,,,(A),1,A,A,Reasoning:Skin provides a barrier against contaminants found in the environment. The final answer: (A).,Skin provides a barrier against contaminants found in the environment.,A,1
